SPEAKER_00	00:00:02	00:00:13	 There is sort of an eerie parallel. And you have to be extremely careful drawing such parallel and such connections to this
SPEAKER_00	00:00:15	00:00:35	 unexplainable war in that is World War II. But is there elements of this that do echo in the actions of Vladimir Putin? And more specifically, do you think that Vladimir Putin is a war criminal?
SPEAKER_00	00:00:37	00:00:40	 can that label be assigned to the actions of this man?
SPEAKER_01	00:00:41	00:00:51	 The war criminal is a legal determination, and it requires evidence and due process and the ability to defend oneself.
SPEAKER_01	00:00:52	00:00:58	 We don't just decide in the Twitter sphere or on a podcast that somebody is a war criminal.
SPEAKER_01	00:00:59	00:01:01	 they can be a suspected war criminal.
SPEAKER_01	00:01:02	00:01:11	 and we can gather evidence to try to prosecute that case. And then the issue for us, Lexus, which court does it go to?
SPEAKER_01	00:01:12	00:01:21	 What's the appropriate place? Does it happen in Ukraine because they're the victims? Does it happen in the hog? Because there's an international criminal court there.
SPEAKER_01	00:01:22	00:01:34	 does it happen inside Russia because there's regime change at some point and some of these people become let's say they get arrested by their own people inside Russia
SPEAKER_01	00:01:36	00:02:04	 So those are all important questions that have to be pursued with resources and with determination. And by skilled people who are excellent at gathering that evidence and that process is underway. And Ukraine has a trial underway now of one alleged war criminal who's pleaded guilty and we'll see what the outcome of that trial inside Ukraine is of a lower level official, but obviously.
SPEAKER_01	00:02:04	00:02:07	 Vladimir Putin but the commander of a tank group.
SPEAKER_01	00:02:09	00:02:11	 So, yes.
SPEAKER_01	00:02:13	00:02:15	 The names are eerily familiar.
SPEAKER_01	00:02:17	00:02:19	 It's a archive.
SPEAKER_01	00:02:21	00:02:30	 Kiev. Right? Those are the names we know from the Nazi invasion and the Nazi occupation of Ukraine.
SPEAKER_01	00:02:31	00:02:36	 and it's very deeply troubling to think that this could happen again.
SPEAKER_01	00:02:37	00:02:52	 And there's a bizarre sense that the Russians claiming, as Putin says, that the denotsify Ukraine have invaded the same places that the Nazis invaded back in 1941.
SPEAKER_00	00:02:52	00:02:55	 as somebody who is working on volume 3.
SPEAKER_00	00:02:56	00:03:03	 of your work on Stalin going through this period is an eerie to you.
SPEAKER_01	00:03:03	00:03:10	 Yes, it is. Flex. I've written the chapters of volume three. I've drafted the chapters on the war.
SPEAKER_00	00:03:04	00:03:05	 that you're...
SPEAKER_01	00:03:11	00:03:16	 And as I say, the place names are very evocative, unfortunately.
SPEAKER_01	00:03:17	00:03:19	 but but you know
SPEAKER_01	00:03:20	00:03:21	 And I see he's failed ultimately.
SPEAKER_01	00:03:23	00:03:38	 They captured Ukraine for a time, but they were evicted from Ukraine. There was massive partisan or guerrilla warfare resistance behind Nazi lines the whole time.
SPEAKER_01	00:03:39	00:03:55	 that they were allegedly in control of Ukraine. If you look at the maps on cable TV, they show you the sign of rush, they show you the coloring, rush and control, and they draw a line and then it's colored in. But the word control is misplaced.
SPEAKER_01	00:03:56	00:04:20	 then are actually controlling. It's Russian claimed or extent of farthest Russian troop advancement. Because behind the Russian lines in Ukraine, Crimea accepted, you have insurgencies, you have the armed insurgency. In Millie Topal, for example, which is a place that you know in southeastern Ukraine.
SPEAKER_01	00:04:21	00:04:30	 There is a guerrilla war now underway to hurt the Russians who are in occupation of that city and region.
